id,data_entrada,data_saida,tipo,regime_detectado,preco_entrada,preco_saida,quantidade,pnl_bruto,taxas_slippage,pnl_liquido,retorno_pct,motivo_saida,candles_duracao,range_pct_entrada,range_bin
18,2026-04-06 16:10:00,2026-04-06 16:15:00,COMPRA,Lateral,1.1195595,1.1222155977933672,244.9989881095931,0.6507412716950807,0.8238489457929887,-0.17310767409790806,-0.017995619588652374,Take Profit,1,5.555555555556172,0-20
19,2026-04-06 17:30:00,2026-04-06 17:50:00,COMPRA,Bullish,1.1275635,1.1254195714285715,405.3601478963573,-0.8690632027934511,1.3699043265634128,-2.238967529356864,-0.23279649599124733,Stop Loss,4,44.44444444444444,40-60
20,2026-04-06 18:40:00,2026-04-06 19:00:00,COMPRA,Lateral,1.1215605,1.1201312142857143,243.94864073296174,-0.34867230721903403,0.8202864699635143,-1.1689587771825483,-0.12182601573849812,Stop Loss,4,14.285714285714285,0-20
21,2026-04-06 19:50:00,2026-04-06 19:55:00,COMPRA,Lateral,1.114557,1.112841857142857,245.18247128379986,-0.4205229643190572,0.8191787344934958,-1.2397016988125529,-0.12935625904078116,Stop Loss,1,0.0,
22,2026-04-07 07:30:00,2026-04-07 07:45:00,COMPRA,Lateral,1.1075534999999999,1.1049093214285712,246.41369288707455,-0.6515618064385964,0.8177717013053555,-1.469333507743952,-0.15351569548490263,Stop Loss,3,23.529411764705728,20-40
23,2026-04-08 01:10:00,2026-04-08 01:20:00,COMPRA,Bullish,1.1525759999999998,1.1575741613183,394.0410850351338,1.9694809090436098,1.3654411142399285,0.6040397948036813,0.06320699967476243,Take Profit,2,68.96551724137957,60-80
24,2026-04-08 05:00:00,2026-04-08 05:05:00,COMPRA,Bullish,1.1535765,1.1501491868036642,393.94817767823577,-1.3501837880290672,1.3613228042802683,-2.7115065923093358,-0.28355406072047934,Stop Loss,1,39.9999999999997,20-40
25,2026-04-08 05:10:00,2026-04-08 05:35:00,COMPRA,Bullish,1.1495745,1.1455010357142856,394.1986799231148,-1.6057542441425356,1.3570736197536104,-2.962827863896146,-0.3107168716197325,Stop Loss,5,6.666666666667358,0-20
26,2026-04-08 08:40:00,2026-04-08 09:10:00,COMPRA,Lateral,1.1325659999999997,1.1353126549450547,239.32523321359096,0.6573438352825492,0.8141408819922752,-0.15679704670972594,-0.016494829120877873,Take Profit,6,7.6923076923076925,0-20
27,2026-04-09 20:20:00,2026-04-09 20:30:00,COMPRA,Bullish,1.144572,1.1385637480314958,394.6262774467843,-2.371014108293077,1.3514780417270225,-3.7224921500200994,-0.391665551181108,Stop Loss,2,70.73170731707309,60-80
28,2026-04-09 22:35:00,2026-04-09 22:55:00,COMPRA,Bullish,1.1345669999999999,1.1289976969162996,396.5469820351514,-2.208490329880414,1.3464146238052062,-3.55490495368562,-0.37550342251415375,Stop Loss,4,35.4838709677417,20-40
29,2026-04-10 12:45:00,2026-04-10 12:50:00,COMPRA,Bullish,1.1365679999999998,1.1320697097625327,394.36241001308184,-1.7739565789858287,1.3419981520027664,-3.1159547309885953,-0.33037783723614955,Stop Loss,1,65.5172413793102,60-80
30,2026-04-10 18:00:00,2026-04-10 18:05:00,COMPRA,Bullish,1.1355674999999998,1.1325659999999997,393.4058319626796,-1.1808076046360227,1.3384454198548863,-2.519253024490909,-0.26799626596916715,Stop Loss,1,72.2222222222225,60-80
31,2026-04-10 21:55:00,2026-04-10 22:10:00,COMPRA,Lateral,1.128564,1.1267773928571427,236.87179472925965,-0.42319684040469174,0.8013401451798895,-1.2245369855845811,-0.13061537953552488,Stop Loss,3,16.666666666666664,0-20
32,2026-04-11 18:45:00,2026-04-11 19:15:00,COMPRA,Bullish,1.1335665,1.137854357142857,392.53073170596247,1.6831157017363216,1.3374037365997051,0.3457119651366165,0.03692363478753933,Take Profit,6,63.15789473684248,60-80
33,2026-04-14 04:10:00,2026-04-14 04:15:00,COMPRA,Bullish,1.1255625,1.1226681964285716,395.4680286278181,-1.1446045276432393,1.3336550421257307,-2.47825956976897,-0.2645918726785638,Stop Loss,1,18.749999999999567,0-20
34,2026-04-14 05:55:00,2026-04-14 06:50:00,COMPRA,Bullish,1.1225610000000001,1.1264200714285717,395.47625571359634,1.5261711191027993,1.3341279199489857,0.19204319915381363,0.020557924703977975,Take Profit,11,28.57142857142872,20-40
35,2026-04-14 07:15:00,2026-04-14 07:25:00,COMPRA,Bullish,1.124562,1.1215605000000002,394.8537183543178,-1.1851534356404372,1.3303347315064444,-2.5154881671468816,-0.26922373498664975,Stop Loss,2,57.14285714285805,40-60
36,2026-04-14 09:05:00,2026-04-14 09:15:00,COMPRA,Lateral,1.116558,1.1186180173222293,237.96813040368727,0.4902184707701356,0.7978509869479958,-0.30763251617786025,-0.033013692703394236,Take Profit,2,0.0,
37,2026-04-14 09:35:00,2026-04-14 10:00:00,COMPRA,Lateral,1.1095545,1.112556,239.39112557565767,0.7185324634153607,0.7979303006227312,-0.07939783720737048,-0.008523420987373414,Take Profit,5,19.230769230768967,0-20
38,2026-04-14 13:50:00,2026-04-14 13:55:00,COMPRA,Lateral,1.112556,1.1096974285714287,238.72493694226642,-0.6824122840306664,0.7957609644081746,-1.478173248438841,-0.15869660052672016,Stop Loss,1,14.28571428571489,0-20
39,2026-04-14 14:00:00,2026-04-14 14:05:00,COMPRA,Lateral,1.108554,1.1054810357142857,239.20654377616896,-0.735073165933334,0.7944175030388417,-1.529490668972176,-0.16446703963866857,Stop Loss,1,12.000000000000497,0-20
40,2026-04-15 10:10:00,2026-04-15 10:20:00,COMPRA,Bullish,1.1195595,1.1169844845387171,394.1092428706258,-1.0148373938263646,1.3221639845901096,-2.337001378416474,-0.2517131307500643,Stop Loss,2,71.42857142857143,60-80
41,2026-04-15 12:35:00,2026-04-15 13:00:00,COMPRA,Bullish,1.1235614999999999,1.1308508571428568,391.71697873328804,2.855364956907835,1.3246373960384852,1.5307275608693498,0.16528725186044196,Take Profit,5,58.82352941176509,40-60
