data_entrada,data_saida,tipo,entrada,saida,tamanho,pnl,capital_final,motivo_saida,score,atr_entrada
2026-04-03 11:25:00,2026-04-03 11:35:00,LONG,1.137,1.1324906615636459,4454.345258736329,-20.086150284011595,984.2213639165681,STOP_LOSS,100,0.0030062256242360617
2026-04-03 12:30:00,2026-04-03 12:35:00,LONG,1.135,1.1306602280320033,4535.820642995174,-19.684427278331363,964.5369366382367,STOP_LOSS,75,0.0028931813119978163
2026-04-04 07:40:00,2026-04-04 07:40:00,LONG,1.116,1.1131084252390815,6671.360876948701,-19.290738732764733,945.2461979054721,STOP_LOSS,55,0.0019277165072790594
2026-04-04 07:50:00,2026-04-04 07:50:00,LONG,1.118,1.114481439401799,5372.914130788243,-18.904923958109443,926.3412739473627,STOP_LOSS,80,0.0023457070654673683
2026-04-04 08:45:00,2026-04-04 09:00:00,LONG,1.116,1.113321294783443,6916.3360583436815,-18.526825478947252,907.8144484684154,STOP_LOSS,75,0.0017858034777048092
2026-04-04 16:05:00,2026-04-04 16:05:00,LONG,1.117,1.113417058681734,5067.425714400299,-18.15628896936831,889.6581594990471,STOP_LOSS,100,0.002388627545510584
2026-04-04 16:45:00,2026-04-04 17:05:00,LONG,1.115,1.1118994458103924,5738.704148316329,-17.79316318998094,871.8649963090661,STOP_LOSS,95,0.002067036126405071
2026-04-04 17:25:00,2026-04-04 18:00:00,LONG,1.119,1.1241809399081608,5609.43903206797,29.06216654363595,900.927162852702,TAKE_PROFIT,120,0.0020723759632643277
2026-04-04 18:55:00,2026-04-04 19:40:00,LONG,1.126,1.1224109085540748,5020.3633784565245,-18.01854325705404,882.908619595648,STOP_LOSS,50,0.002392727630616786
2026-04-04 20:50:00,2026-04-04 21:05:00,LONG,1.123,1.119592298574161,5181.84259278698,-17.65817239191296,865.250447203735,STOP_LOSS,50,0.002271800950559272
2026-04-05 23:10:00,2026-04-05 23:10:00,LONG,1.11,1.105179535246145,3589.9046726222005,-17.3050089440747,847.9454382596602,STOP_LOSS,80,0.0032136431692365774
2026-04-06 01:35:00,2026-04-06 01:35:00,LONG,1.102,1.099041898761084,5733.038660775155,-16.958908765193204,830.986529494467,STOP_LOSS,75,0.0019720674926107977
2026-04-06 02:20:00,2026-04-06 02:25:00,LONG,1.101,1.0984113075309678,6420.12552232713,-16.61973058988934,814.3667989045778,STOP_LOSS,100,0.001725794979354744
