id,data_entrada,data_saida,tipo,regime_detectado,preco_entrada,preco_saida,quantidade,pnl_bruto,taxas_slippage,pnl_liquido,retorno_pct,motivo_saida,candles_duracao
21,2026-04-14 13:50:00,2026-04-14 13:55:00,COMPRA,Lateral,1.112556,1.108268142857143,410.26523125924456,-1.7591587023208577,1.3666903958330991,-3.1258490981539566,-0.32545587631680034,Stop Loss,1
22,2026-04-14 14:00:00,2026-04-14 14:30:00,COMPRA,Lateral,1.108554,1.1039445535714285,410.406280540304,-1.8917457640998292,1.3620349531080789,-3.253780717207908,-0.3398819740966713,Stop Loss,6
23,2026-04-16 11:00:00,2026-04-16 11:10:00,COMPRA,Bullish,1.1595795,1.1459895601406365,782.0269421880641,-10.627699112737744,2.7045256831577866,-13.332224795895531,-1.3974011024241373,Stop Loss,2
24,2026-04-16 11:25:00,2026-04-16 12:15:00,COMPRA,Lateral,1.1405699999999999,1.15,391.97526861397614,3.6963267830298143,1.346770186543673,2.349556596486141,0.2497560416666687,Stop Tempo,10
25,2026-04-16 18:45:00,2026-04-16 20:25:00,COMPRA,Bullish,1.1745869999999998,1.183,763.1479482168037,6.420363688348142,2.6987815226889142,3.721582165659228,0.3946157176320456,Stop Tempo,20
26,2026-04-16 21:10:00,2026-04-16 22:20:00,COMPRA,Bullish,1.1845919999999999,1.17944222195387,759.6885086688377,-3.9122272038398807,2.6938944487773475,-6.606121652617228,-0.6977227964617897,Stop Loss,14
27,2026-04-17 13:15:00,2026-04-17 14:20:00,COMPRA,Bullish,1.2056025,1.1987419285714285,741.240978169226,-5.085336676514137,2.673297924135021,-7.758634600649158,-0.8252061135151163,Stop Loss,13
28,2026-04-18 05:40:00,2026-04-18 07:00:00,COMPRA,Bullish,1.2056025,1.1880222857142855,735.1242123014943,-12.9236411788773,2.6394173027153203,-15.56305848159262,-1.669055509632495,Stop Loss,16
29,2026-04-20 19:05:00,2026-04-20 19:15:00,COMPRA,Bullish,1.118559,1.1129847857142858,779.1053401304004,-4.342900117031139,2.6079115202772147,-6.9508116373083535,-0.7580906499169406,Stop Loss,2
30,2026-04-20 20:05:00,2026-04-20 20:55:00,COMPRA,Lateral,1.1065530000000001,1.106,390.79407740069826,-0.21610912480259617,1.296978912502721,-1.513088037305317,-0.16628562500000107,Stop Tempo,10
31,2026-04-20 23:45:00,2026-04-21 00:00:00,COMPRA,Lateral,1.102551,1.0993351071428572,391.5603745802652,-1.2592162117528554,1.293257023343909,-2.5524732350967643,-0.28097939732142846,Stop Loss,3
32,2026-04-21 09:45:00,2026-04-21 10:35:00,COMPRA,Lateral,1.098549,1.0956546964285716,391.8826120225695,-1.1342272435576097,1.2898054137990087,-2.4240326573566184,-0.26759237979361045,Stop Loss,10
33,2026-04-21 22:35:00,2026-04-21 23:10:00,COMPRA,Lateral,1.0995495,1.1051237142857142,390.47833711422834,2.1766099250040774,1.2913156958918497,0.8852942291122277,0.09799109377030923,Take Profit,7
34,2026-04-22 00:35:00,2026-04-22 02:15:00,COMPRA,Bullish,1.1155575,1.1320657499999998,770.5044076185924,12.719679387069458,2.597705431186538,10.12197395588292,1.1192802124439274,Take Profit,20
35,2026-04-22 04:50:00,2026-04-22 05:15:00,COMPRA,Bullish,1.1315655,1.1278493571428572,768.1063569874617,-2.85439295204496,2.6032063722650194,-5.45759932430998,-0.5968171428571409,Stop Loss,5
36,2026-04-22 07:55:00,2026-04-22 08:35:00,COMPRA,Lateral,1.1195595,1.1175227678571429,385.8550359225759,-0.785883354146813,1.2947841882386633,-2.080667542385476,-0.22889802356616296,Stop Loss,8
37,2026-04-22 16:40:00,2026-04-22 17:30:00,COMPRA,Lateral,1.1155575,1.114,386.3528862015509,-0.6017446202588685,1.2920939626159718,-1.8938385828748403,-0.20882262051568987,Stop Tempo,10
38,2026-04-22 19:55:00,2026-04-22 20:00:00,COMPRA,Lateral,1.1135564999999998,1.1118398147482014,386.2388991804705,-0.6630506218939886,1.289301934272932,-1.9523525561669204,-0.2157251005267174,Stop Loss,1
39,2026-04-23 14:30:00,2026-04-23 14:35:00,COMPRA,Lateral,1.0975484999999998,1.0936929432084308,391.0269164299767,-1.5076264833278863,1.285251577037047,-2.7928780603649335,-0.3092660897248213,Stop Loss,1
40,2026-04-23 14:40:00,2026-04-23 14:45:00,COMPRA,Lateral,1.092546,1.088258142857143,391.60248190935073,-1.6791354992155643,1.2810124723515772,-2.9601479715671415,-0.3288054115973278,Stop Loss,1
41,2026-04-23 14:50:00,2026-04-23 16:30:00,COMPRA,Lateral,1.090545,1.096,391.03104583350154,2.133074355021746,1.2825104671680205,0.8505638878537254,0.09479006307339392,Stop Tempo,20
42,2026-04-24 20:15:00,2026-04-24 21:55:00,COMPRA,Bullish,1.1295644999999999,1.136,755.7623698941491,4.863708731453825,2.568342593502079,2.2953661379517465,0.25556205380868346,Stop Tempo,20
43,2026-04-26 21:00:00,2026-04-26 21:05:00,COMPRA,Lateral,1.42071,1.4093471785714284,301.20996952167206,-3.4225950961802174,1.2786621547531336,-4.701257250933351,-0.5220954872044785,Stop Loss,1
44,2026-04-26 21:10:00,2026-04-26 21:15:00,COMPRA,Lateral,1.4127059999999998,1.3987704642857142,301.3350279933293,-4.1992650445663005,1.270794508602183,-5.4700595531684835,-0.6106626377541959,Stop Loss,1
45,2026-04-27 18:00:00,2026-04-27 18:50:00,COMPRA,Bullish,1.442721,1.4255695714285712,586.5281293187599,-10.05979531514441,2.523499654803955,-12.583294969948366,-1.413396061521705,Stop Loss,10
46,2026-04-28 03:10:00,2026-04-28 03:20:00,COMPRA,Bullish,1.4727359999999998,1.45059711143439,566.4534186523102,-12.540649113152183,2.4838980522472576,-15.02454716539944,-1.7117998519784825,Stop Loss,2
47,2026-04-28 20:10:00,2026-04-28 20:15:00,COMPRA,Bullish,1.5197595,1.499034857142857,539.5300279454058,-11.181567139872937,2.4430953058060783,-13.624662445679016,-1.579341189810037,Stop Loss,1
